Artist;Title
K.C. And The Sunshine Band;Please Don't Go
Michael Jackson;Rock With You
Captain & Tennille;Do That To Me One More Time
Queen;Crazy Little Thing Called Love
Pink Floyd;Another Brick In The Wall (Part II)
Blondie;Call Me
"Lipps, Inc.";Funkytown
Paul McCartney & Wings;Coming Up (Live At Glasgow)
Billy Joel;It's Still Rock And Roll To Me
Olivia Newton-John;Magic
Christopher Cross;Sailing
Diana Ross;Upside Down
Queen;Another One Bites The Dust
Barbra Streisand;Woman In Love
Kenny Rogers;Lady
John Lennon;(Just Like) Starting Over
Blondie;The Tide Is High
Kool & The Gang;Celebration
Dolly Parton;9 To 5
Eddie Rabbitt;I Love A Rainy Night
REO Speedwagon;Keep On Loving You
Blondie;Rapture
"Daryl Hall, John Oates";Kiss On My List
Sheena Easton;Morning Train (Nine To Five)
Kim Carnes;Bette Davis Eyes
Stars On 45;Medley
Air Supply;The One That You Love
Rick Springfield;Jessie's Girl
Diana Ross & Lionel Richie;Endless Love
Christopher Cross;Arthur's Theme (Best That You Can Do)
"Daryl Hall, John Oates";Private Eyes
Olivia Newton-John;Physical
"Daryl Hall, John Oates";I Can't Go For That (No Can Do)
The J. Geils Band;Centerfold
Joan Jett & The Blackhearts;I Love Rock 'N Roll
Vangelis;Chariots Of Fire
Paul McCartney & Stevie Wonder;Ebony And Ivory
The Human League;Don't You Want Me
Survivor;Eye Of The Tiger
The Steve Miller Band;Abracadabra
Chicago;Hard To Say I'm Sorry
John Cougar;Jack & Diane
Men At Work;Who Can It Be Now?
Joe Cocker & Jennifer Warnes;Up Where We Belong
Lionel Richie;Truly
Toni Basil;Mickey
"Daryl Hall, John Oates";Maneater
Men At Work;Down Under
Toto;Africa
Patti Austin with James Ingram;"Baby, Come To Me"
Michael Jackson;Billie Jean
Dexys Midnight Runners;Come On Eileen
Michael Jackson;Beat It
David Bowie;Let's Dance
Irene Cara;Flashdance...What A Feeling
The Police;Every Breath You Take
Eurythmics;Sweet Dreams (Are Made of This)
Michael Sembello;Maniac
Billy Joel;Tell Her About It
Bonnie Tyler;Total Eclipse Of The Heart
Kenny Rogers with Dolly Parton;Islands In The Stream
Lionel Richie;All Night Long (All Night)
Paul McCartney & Michael Jackson;Say Say Say
Yes;Owner Of A Lonely Heart
Culture Club;Karma Chameleon
Van Halen;Jump
Kenny Loggins;Footloose
Phil Collins;Against All Odds (Take A Look At Me Now)
Lionel Richie;Hello
Deniece Williams;Let's Hear It For The Boy
Cyndi Lauper;Time After Time
Duran Duran;The Reflex
Prince And The Revolutio;When Doves Cry
Ray Parker Jr.;Ghostbusters
Tina Turner;What's Love Got To Do With It
John Waite;Missing You
Prince and The Revolution;Let's Go Crazy
Stevie Wonder;I Just Called To Say I Love You
Billy Ocean;Caribbean Queen (No More Love On The Run)
Wham!;Wake Me Up Before You Go-Go
"Daryl Hall, John Oates";Out Of Touch
Madonna;Like A Virgin
Foreigner;I Want To Know What Love Is
Wham! feat. George Michael;Careless Whisper
REO Speedwagon;Can't Fight This Feeling
Phil Collins;One More Night
USA For Africa;We Are The World
Madonna;Crazy For You
Simple Minds;Don't You (Forget About Me)
Wham!;Everything She Wants
Tears For Fears;Everybody Wants To Rule The World
Bryan Adams;Heaven
Phil Collins;Sussudio
Duran Duran;A View To A Kill
Paul Young;Everytime You Go Away
Tears For Fears;Shout
Huey Lewis & The News;The Power Of Love
John Parr;St. Elmo's Fire (Man In Motion)
Dire Straits;Money For Nothing
Ready For The World;Oh Sheila
A-Ha;Take On Me
Whitney Houston;Saving All My Love For You
Stevie Wonder;Part-Time Lover
Jan Hammer;Miami Vice Theme
Starship;We Built This City
Phil Collins and Marilyn Martin;Separate Lives
Mr. Mister;Broken Wings
Lionel Richie;"Say You, Say Me"
Dionne & Friends;That's What Friends Are For
Whitney Houston;How Will I Know
Mr. Mister;Kyrie
Starship;Sara
Heart;These Dreams
Falco;Rock Me Amadeus
Prince and The Revolution;Kiss
Robert Palmer;Addicted To Love
Pet Shop Boys;West End Girls
Whitney Houston;Greatest Love Of All
Madonna;Live To Tell
Patti LaBelle & Michael McDonald;On My Own
Billy Ocean;There'll Be Sad Songs (To Make You Cry)
Simply Red;Holding Back The Years
Genesis;Invisible Touch
Peter Gabriel;Sledgehammer
Peter Cetera;"Glory Of Love (Theme From ""The Karate Kid Part II"")"
Madonna;Papa Don't Preach
Steve Winwood;Higher Love
Bananarama;Venus
Berlin;"Take My Breath Away (Love Theme From ""Top Gun"")"
Huey Lewis & The News;Stuck With You
Janet Jackson;When I Think Of You
Cyndi Lauper;True Colors
Boston;Amanda
The Human League;Human
Bon Jovi;You Give Love A Bad Name
Peter Cetera with Amy Grant;The Next Time I Fall
Bruce Hornsby & The Range;The Way It Is
The Bangles;Walk Like An Egyptian
Gregory Abbott;Shake You Down
Billy Vera & The Beaters;At This Moment
Madonna;Open Your Heart
Bon Jovi;Livin' On A Prayer
Huey Lewis & The News;Jacob's Ladder
Club Nouveau;Lean On Me
Starship;Nothing's Gonna Stop Us Now
Aretha Franklin & George Michael;I Knew You Were Waiting (For Me)
Cutting Crew;(I Just) Died In Your Arms
U2;With Or Without You
Kim Wilde;You Keep Me Hangin' On
Atlantic Starr;Always
Lisa Lisa & Cult Jam Featuring Full Force;Head To Toe
Whitney Houston;I Wanna Dance With Somebody (Who Loves Me)
Heart;Alone
Bob Seger;"Shakedown (From ""Beverly Hills Cop II"")"
U2;I Still Haven't Found What I'm Looking For
Madonna;Who's That Girl
Los Lobos;La Bamba
Michael Jackson with Siedah Garrett;I Just Can't Stop Loving You
Whitney Houston;Didn't We Almost Have It All
Whitesnake;Here I Go Again
Lisa Lisa & Cult Jam feat. Full Force;Lost In Emotion
Michael Jackson;Bad
Tiffany;I Think We're Alone Now
Billy Idol;Mony Mony
Bill Medley & Jennifer Warnes;(I've Had) The Time Of My Life
Belinda Carlisle;Heaven Is A Place On Earth
George Michael;Faith
Whitney Houston;So Emotional
George Harrison;Got My Mind Set On You
Michael Jackson;The Way You Make Me Feel
INXS;Need You Tonight
Tiffany;Could've Been
Expose;Seasons Change
George Michael;Father Figure
Rick Astley;Never Gonna Give You Up
Michael Jackson;Man In The Mirror
Billy Ocean;"Get Outta My Dreams, Get Into My Car"
Whitney Houston;Where Do Broken Hearts Go
Terence Trent D'Arby;Wishing Well
Gloria Estefan & Miami Sound Machine;Anything For You
George Michael;One More Try
Rick Astley;Together Forever
Debbie Gibson;Foolish Beat
Michael Jackson;Dirty Diana
Cheap Trick;The Flame
Richard Marx;Hold On To The Nights
Steve Winwood;Roll With It
George Michael;Monkey
Guns N' Roses;Sweet Child O' Mine
Bobby McFerrin;"Don't Worry, Be Happy (From ""Cocktail"")"
Def Leppard;Love Bites
UB40;Red Red Wine
Phil Collins;Groovy Kind Of Love
The Beach Boys;"Kokomo (From ""Cocktail"")"
The Escape Club;"Wild, Wild West"
Bon Jovi;Bad Medicine
Will To Power;"Baby, I Love Your Way/Freebird Medley"
Chicago;Look Away
Poison;Every Rose Has Its Thorn
Bobby Brown;My Prerogative
Phil Collins;Two Hearts
Sheriff;When I'm With You
Paula Abdul;Straight Up
Debbie Gibson;Lost In Your Eyes
Mike + The Mechanics;The Living Years
The Bangles;Eternal Flame
Roxette;The Look
Fine Young Cannibals;She Drives Me Crazy
Madonna;Like A Prayer
Bon Jovi;I'll Be There For You
Paula Abdul;Forever Your Girl
Michael Damian;"Rock On (From ""Dream A Little Dream"")"
Bette Midler;"Wind Beneath My Wings (From ""Beaches"")"
New Kids On The Block;I'll Be Loving You (Forever)
Richard Marx;Satisfied
Milli Vanilli;Baby Don't Forget My Number
Fine Young Cannibals;Good Thing
Simply Red;If You Don't Know Me By Now
Martika;Toy Soldiers
Prince;"Batdance (From ""Batman"")"
Richard Marx;Right Here Waiting
Paula Abdul;Cold Hearted
New Kids On The Block;Hangin' Tough
Gloria Estefan;Don't Wanna Lose You
Milli Vanilli;Girl I'm Gonna Miss You
Janet Jackson;Miss You Much
Roxette;Listen To Your Heart
Bad English;When I See You Smile
Milli Vanilli;Blame It On The Rain
Billy Joel;We Didn't Start The Fire
Phil Collins;Another Day In Paradise
Michael Bolton;How Am I Supposed To Live Without You
Paula Abdul (Duet With The Wild Pair);Opposites Attract
Janet Jackson;Escapade
Alannah Myles;Black Velvet
Taylor Dayne;Love Will Lead You Back
Tommy Page;I'll Be Your Everything
Sinead O'Connor;Nothing Compares 2 U
Madonna;Vogue
Wilson Phillips;Hold On
Roxette;"It Must Have Been Love (From ""Pretty Woman"")"
New Kids On The Block;Step By Step
Glenn Medeiros feat. Bobby Brown;She Ain't Worth It
Mariah Carey;Vision Of Love
Sweet Sensation;If Wishes Came True
Jon Bon Jovi;"Blaze Of Glory (From ""Young Guns II"")"
Wilson Phillips;Release Me
Nelson;(Can't Live Without Your) Love And Affection
Maxi Priest;Close To You
George Michael;Praying For Time
James Ingram;I Don't Have The Heart
Janet Jackson;Black Cat
Vanilla Ice;Ice Ice Baby
Mariah Carey;Love Takes Time
Whitney Houston;I'm Your Baby Tonight
Stevie B;Because I Love You (The Postman Song)
Madonna;Justify My Love
Janet Jackson;Love Will Never Do (Without You)
Surface;The First Time
C+C Music Factory;Gonna Make You Sweat (Everybody Dance Now)
Whitney Houston;All The Man That I Need
Mariah Carey;Someday
Timmy T.;One More Try
Gloria Estefan;Coming Out Of The Dark
Londonbeat;I've Been Thinking About You
Wilson Phillips;You're In Love
Amy Grant;Baby Baby
Roxette;Joyride
Hi-Five;I Like The Way (The Kissing Game)
Mariah Carey;I Don't Wanna Cry
Extreme;More Than Words
Paula Abdul;Rush Rush
EMF;Unbelievable
Bryan Adams;(Everything I Do) I Do It For You
Paula Abdul;The Promise Of A New Day
Color Me Badd;I Adore Mi Amor
Marky Mark & The Funky Bunch/Loleatta Holloway;Good Vibrations
Mariah Carey;Emotions
Karyn White;Romantic
Prince And The N.P.G.;Cream
Michael Bolton;When A Man Loves A Woman
P.M. Dawn;Set Adrift On Memory Bliss
Michael Jackson;Black Or White
Color Me Badd;All 4 Love
George Michael/Elton John;Don't Let The Sun Go Down On Me
Right Said Fred;I'm Too Sexy
Mr. Big;To Be With You
Vanessa Williams;Save The Best For Last
Kris Kross;Jump
Mariah Carey;I'll Be There
Sir Mix-A-Lot;Baby Got Back
Madonna;This Used To Be My Playground
Boyz II Men;"End Of The Road (From ""Boomerang"")"
The Heights;How Do You Talk To An Angel
Whitney Houston;"I Will Always Love You (From ""The Bodyguard"")"
Peabo Bryson & Regina Belle;A Whole New World (Aladdin's Theme)
Snow;Informer
Silk;Freak Me
Janet Jackson;That's The Way Love Goes
SWV;Weak
UB40;"Can't Help Falling In Love (From ""Sliver"")"
Mariah Carey;Dreamlover
Meat Loaf;I'd Do Anything For Love (But I Won't Do That)
Janet Jackson;Again
Mariah Carey;Hero
Bryan Adams/Rod Stewart/Sting;All For Love
